logged_name,current_catalog_name,current_catalog_id,external_source,external_id,muscle_group,equipment,movement_pattern,set_rows,completed_sets,user_count,first_logged,last_logged,new_exercise_id,new_exercise_name
Barbell Incline Bench Press,Barbell Incline Bench Press,f98ff9d7-95c5-421f-a1d2-51c32229d732,exercisedb,3TZduzM,Pectorals,barbell,push_horizontal,5,5,1,2026-09-16,2026-09-16,,
Cable Pushdown,Cable Pushdown,647e3733-3f7b-43c0-be4f-736c03adce66,exercisedb,3ZflifB,Triceps,cable,null,5,4,2,2026-09-11,2026-09-11,,
A1 Romanian deadlift,null,null,null,null,null,null,null,4,4,2,2026-07-03,2026-07-03,,
Barbell Lying Triceps Extension Skull Crusher,Barbell Lying Triceps Extension Skull Crusher,ea6fdd93-01a4-4122-8e03-9db66c280fa1,exercisedb,h8LFzo9,Triceps,barbell,isolation,4,4,2,2026-08-14,2026-08-14,,
Butterfly,Butterfly,4a0afed8-4a05-4246-9986-2def0d644008,free_exercise_db,Butterfly,Chest,machine,isolation,4,4,2,2026-08-12,2026-09-19,,
Dumbbell Flyes,Dumbbell Flyes,71fe5675-c294-477c-8fc5-028d6e678e22,free_exercise_db,Dumbbell_Flyes,Chest,dumbbell,isolation,4,4,2,2026-08-12,2026-08-26,,
Farmers Walk,Farmers Walk,4708e0ac-dc06-4f75-842a-c87d752608e9,exercisedb,qPEzJjA,Quads,dumbbell,cardio,4,4,2,2026-09-14,2026-09-14,,
Lat Pulldown,Lat Pulldown,47153a3d-cbd4-43c4-8b37-f68bc933c770,null,null,Lats,Cable Machine,null,4,4,2,2026-08-07,2026-08-07,,
Pull up work,Chin-Up,194f658c-9fc5-4e54-a4d8-b1e7772d4e61,null,null,Lats,bodyweight,pull_horizontal,4,4,2,2026-07-08,2026-07-09,,
Push-up,Push-up,97556be0-dc89-494c-b405-2dbfa5e37bd3,exercisedb,I4hDWkc,Pectorals,bodyweight,push_horizontal,4,4,2,2026-08-07,2026-08-07,,
